Run will be saved under: ./run_outputs/run_2000_to_2000-06-30

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 10752806, isPK: True, prob: 0.9999886751174927>
<pmid: 11156703, isPK: False, prob: 0.0019089854322373867>
<pmid: 11150738, isPK: False, prob: 0.0012387034948915243>
<pmid: 11144982, isPK: False, prob: 0.0011160392314195633>
<pmid: 11144236, isPK: False, prob: 0.0006593813886865973>
<pmid: 11144235, isPK: False, prob: 0.005169731564819813>
<pmid: 11144234, isPK: False, prob: 0.0007799010490998626>
<pmid: 11144231, isPK: False, prob: 0.0009045579354278743>
<pmid: 11143707, isPK: False, prob: 0.0015163847710937262>
<pmid: 11142088, isPK: False, prob: 0.0006940907915122807>
<pmid: 11140856, isPK: False, prob: 0.000861171807628125>
<pmid: 11140433, isPK: True, prob: 0.9999910593032837>
<pmid: 11138467, isPK: True, prob: 0.999992847442627>
<pmid: 11138463, isPK: True, prob: 0.9999041557312012>
<pmid: 11130010, isPK: False, prob: 0.003195685101673007>
<pmid: 11130008, isPK: False, prob: 0.001360782771371305>
<pmid: 11130007, isPK: False, prob: 0.017919812351465225>
<pmid: 11130001, isPK: True, prob: 0.9675554633140564>
<pmid: 11129101, isPK: False, prob: 0.0019335137913003564>
<pmid: 11127962, isPK: False, prob: 0.46368443965911865>
<pmid: 11127941, isPK: True, prob: 0.999990701675415>
<pmid: 11122724, isPK: False, prob: 0.0027980408631265163>
<pmid: 11119196, isPK: True, prob: 0.9999920129776001>
<pmid: 11116754, isPK: True, prob: 0.9999935626983643>
<pmid: 11114039, isPK: True, prob: 0.9999860525131226>
<pmid: 11113881, isPK: True, prob: 0.9998494386672974>
<pmid: 11113345, isPK: False, prob: 0.0011132515501230955>
<pmid: 11112092, isPK: True, prob: 0.9999922513961792>
<pmid: 11112087, isPK: True, prob: 0.9999110698699951>
<pmid: 11110104, isPK: True, prob: 0.9999940395355225>
<pmid: 11110103, isPK: True, prob: 0.9998730421066284>
<pmid: 11110101, isPK: True, prob: 0.9999911785125732>
<pmid: 11109252, isPK: False, prob: 0.002652120776474476>
